source,title,company,location,salary,url,date_scraped
LinkedIn,"Data Analyst, EMEA Production Finance",Netflix,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-emea-production-finance-at-netflix-4355850311?position=1&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=3%2BMvb68GCfN9cF0T4znjkA%3D%3D,2026-01-27
LinkedIn,Data Analyst,Stripe,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-at-stripe-4359344997?position=2&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=wlktSZ%2BFMKqHK69AiLT2jg%3D%3D,2026-01-27
LinkedIn,Business Data Analyst,Alibaba.com,"Greater London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/business-data-analyst-at-alibaba-com-4346700594?position=3&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=jgC0GW5%2BD8EyL236B4Ntmg%3D%3D,2026-01-27
LinkedIn,Data Analyst,Practicus,"London Area, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-at-practicus-4353962186?position=4&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=TlRRwqfs%2BFfQr1wxLDZKVw%3D%3D,2026-01-27
LinkedIn,Junior Data Analyst,We Are Buchanan,"London Area, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-we-are-buchanan-4354820767?position=5&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=rgwnJWKlJ%2F4BnncU8dTUXw%3D%3D,2026-01-27
LinkedIn,Data Analyst - EU,POP MART,"London Area, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-eu-at-pop-mart-4365837883?position=6&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=bpT%2FYqvDt0B%2BP1XWgovP6A%3D%3D,2026-01-27
LinkedIn,Data Analyst - TikTok LIVE,TikTok,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-tiktok-live-at-tiktok-4329641554?position=7&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=eXZlF47g%2FUgntZTxkJKyoQ%3D%3D,2026-01-27
LinkedIn,Graduate Data Analyst - London,GRAYCE,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/graduate-data-analyst-london-at-grayce-4345955307?position=8&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=qeOhFGBSVC7pXC5KlWAN3A%3D%3D,2026-01-27
LinkedIn,Data Analyst - Systematic Hedge Fund - £200k+,Paragon Alpha - Hedge Fund Talent Business,"London Area, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-systematic-hedge-fund-%C2%A3200k%2B-at-paragon-alpha-hedge-fund-talent-business-4365531042?position=9&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=XOHec5%2Fb4WY9znTfaNvaUw%3D%3D,2026-01-27
LinkedIn,APP Data Analyst,Burberry,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/app-data-analyst-at-burberry-4358536930?position=10&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=2B9eyniHmZKV0z6o15SYsA%3D%3D,2026-01-27
LinkedIn,Data Analyst,Houst,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-at-houst-4343521019?position=11&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=7tdw7wJjgvNYHrEQSSW%2BPg%3D%3D,2026-01-27
LinkedIn,Junior Data Analyst,Intellect Group,"London Area, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-intellect-group-4359496207?position=12&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=jQGKmh0L0zUAM%2FraWSxFyw%3D%3D,2026-01-27
LinkedIn,Data Analyst,Price Forbes,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-at-price-forbes-4322082243?position=13&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=y46RWoGV13f1Q5fbN%2F86%2BA%3D%3D,2026-01-27
LinkedIn,Data Analyst,Steamship Mutual,"London, England, United Kingdom",Not listed,https://uk.linkedin.com/jobs/view/data-analyst-at-steamship-mutual-4338434765?position=14&pageNum=0&refId=bUiXrMOX5cesIMp7DI%2B24A%3D%3D&trackingId=oLg5GrfghetNDQxjrBVxhw%3D%3D,2026-01-27
